idMonitoramento;porcentagem;dataHora;fkComponente;fkMaquina;fkPlanoEmpresa;fkTipoMaquina;fkEmpresaMaquina;
139;60.7;28/11/2023 14:35;3;1;1;1;1;
140;60.6;28/11/2023 14:35;3;1;1;1;1;
141;60.7;28/11/2023 14:35;3;1;1;1;1;
142;60.8;28/11/2023 14:35;3;1;1;1;1;
143;60.7;28/11/2023 14:35;3;1;1;1;1;
144;60.7;28/11/2023 14:35;3;1;1;1;1;
145;60.9;28/11/2023 14:35;3;1;1;1;1;
146;59.6;28/11/2023 14:35;3;1;1;1;1;
147;59.6;28/11/2023 14:35;3;1;1;1;1;
148;59.8;28/11/2023 14:35;3;1;1;1;1;
149;59.8;28/11/2023 14:35;3;1;1;1;1;
150;60.2;28/11/2023 14:35;3;1;1;1;1;
151;60.3;28/11/2023 14:35;3;1;1;1;1;
152;60.3;28/11/2023 14:35;3;1;1;1;1;
153;60.1;28/11/2023 14:35;3;1;1;1;1;
154;60.1;28/11/2023 14:35;3;1;1;1;1;
155;60.1;28/11/2023 14:35;3;1;1;1;1;
156;60.1;28/11/2023 14:35;3;1;1;1;1;
157;60;28/11/2023 14:35;3;1;1;1;1;
158;60;28/11/2023 14:35;3;1;1;1;1;
159;60.1;28/11/2023 14:35;3;1;1;1;1;
160;60.1;28/11/2023 14:35;3;1;1;1;1;
161;60;28/11/2023 14:35;3;1;1;1;1;
162;60;28/11/2023 14:35;3;1;1;1;1;
163;60;28/11/2023 14:36;3;1;1;1;1;
164;59.7;28/11/2023 14:36;3;1;1;1;1;
165;59.7;28/11/2023 14:36;3;1;1;1;1;
166;59.7;28/11/2023 14:36;3;1;1;1;1;
167;59.7;28/11/2023 14:36;3;1;1;1;1;
168;59.7;28/11/2023 14:36;3;1;1;1;1;
169;59.7;28/11/2023 14:36;3;1;1;1;1;
170;59.7;28/11/2023 14:36;3;1;1;1;1;
171;59.7;28/11/2023 14:36;3;1;1;1;1;
172;59.7;28/11/2023 14:36;3;1;1;1;1;
173;59.7;28/11/2023 14:36;3;1;1;1;1;
174;59.7;28/11/2023 14:36;3;1;1;1;1;
175;59.7;28/11/2023 14:36;3;1;1;1;1;
176;59.7;28/11/2023 14:36;3;1;1;1;1;
177;59.9;28/11/2023 14:36;3;1;1;1;1;
178;59.9;28/11/2023 14:36;3;1;1;1;1;
179;59.8;28/11/2023 14:36;3;1;1;1;1;
180;59.7;28/11/2023 14:36;3;1;1;1;1;
181;59.7;28/11/2023 14:36;3;1;1;1;1;
182;59.7;28/11/2023 14:36;3;1;1;1;1;
183;59.7;28/11/2023 14:36;3;1;1;1;1;
184;59.7;28/11/2023 14:36;3;1;1;1;1;
185;59.7;28/11/2023 14:36;3;1;1;1;1;
186;59.7;28/11/2023 14:36;3;1;1;1;1;
187;59.7;28/11/2023 14:36;3;1;1;1;1;
188;59.7;28/11/2023 14:36;3;1;1;1;1;
189;59.7;28/11/2023 14:36;3;1;1;1;1;
190;59.7;28/11/2023 14:36;3;1;1;1;1;
191;59.7;28/11/2023 14:37;3;1;1;1;1;
192;59.7;28/11/2023 14:37;3;1;1;1;1;
193;59.7;28/11/2023 14:37;3;1;1;1;1;
194;59.7;28/11/2023 14:37;3;1;1;1;1;
195;59.5;28/11/2023 14:37;3;1;1;1;1;
196;59.8;28/11/2023 14:37;3;1;1;1;1;
197;59.8;28/11/2023 14:37;3;1;1;1;1;
198;59.8;28/11/2023 14:37;3;1;1;1;1;
199;59.8;28/11/2023 14:37;3;1;1;1;1;
200;59.7;28/11/2023 14:37;3;1;1;1;1;
201;59.7;28/11/2023 14:37;3;1;1;1;1;
202;59.7;28/11/2023 14:37;3;1;1;1;1;
203;59.7;28/11/2023 14:37;3;1;1;1;1;
